"","Query","Tax","Matching","MapQ","AS.max"
"617","0674565b-62e1-498e-b4cd-1247894266a6","Lactobacillus_amylolyticus",91.4383561643836,46,2100
"2278","1654ff6c-eb38-4a64-99b6-c88b9c0f99ac","Lactobacillus_amylolyticus",87.5922199865862,51,1826
"2677","1a39bdd5-9081-4753-8b20-6b5d241f43f0","Lactobacillus_plantarum",90.4479578392622,0,2130
"2981","1d418edd-aec3-457e-942c-251d9186f625","Lactobacillus_rhamnosus",86.0200668896321,0,1682
"3490","21fb28e5-718a-41aa-8a5c-774db3c264eb","Lactobacillus_amylolyticus",87.1418074944893,38,1676
"4360","2965111e-eb1e-4294-a742-addb8742c632","Lactobacillus_plantarum",90.8163265306122,0,2084
"4730","2cc31c76-fc0c-428f-9b49-4d46670d788a","Lactobacillus_delbrueckii",94.023569023569,0,1926
"4762","2cf2411f-03d2-49dc-adeb-9d7d08ce06ce","Lactobacillus_rhamnosus",89.9785254115963,0,1918
"5356","322b90c1-2091-4d9f-ad34-d22b5eab276b","Lactobacillus_plantarum",93.4201507882111,0,2302
"7284","42e51795-3f04-43fd-9f42-74be87202ba6","Lactobacillus_plantarum",90.7330567081604,0,2058
"10216","5bcc962a-cbc0-4f15-a85e-fb3833eb489d","Lactobacillus_rhamnosus",85.59670781893,0,1614
"11105","63acef58-47ab-4ae8-8e54-64bb3a027071","Lactobacillus_delbrueckii",85.2106620808254,0,1278
"12912","72cce71a-6945-4634-a5e4-04731f268805","Lactobacillus_plantarum",92.9509329647547,0,2232
"13037","74109d78-d046-4bfd-82a3-cef679805ab3","Lactobacillus_paracasei",94.4253269098417,0,2400
"13671","78fbf05a-b539-4195-8cf0-75720963b26d","Lactobacillus_brevis",79.045996592845,60,816
"17244","9820957a-cddf-4119-96c1-45a12aada60b","Lactobacillus_amylolyticus",91.2648497554158,41,2074
"18523","a439e9f5-0a81-4197-8af3-9239cf5dde2d","Lactobacillus_amylolyticus",94.5741758241758,48,2402
"22119","c47c813f-f6ea-454a-960c-6b0228753518","Lactobacillus_plantarum",91.6666666666667,0,2132
"22676","c975fe91-bc95-444d-aeb7-a307c034678f","Lactobacillus_delbrueckii",92.4709103353867,0,2216
"23800","d33ad9c8-8314-483b-9df2-957975c3e525","Lactobacillus_paracasei",94.2068965517241,0,2376
"23938","d4435ca9-1082-4d38-b398-fa048f4361ee","Lactobacillus_amylolyticus",84.3918918918919,37,1466
