"","Query","Tax","Matching","MapQ","AS.max"
"1866","1c88e537-9102-4ad1-a548-38d6a6f17945","Lactobacillus_hokkaidonensis",77.0714285714286,0,832
"3156","2e1f3bc2-a5f4-4be5-9883-728452a789b1","Lactobacillus_paracasei",95.8133150308854,0,2502
"5170","4bc5a99b-e651-4f01-b43c-f881641c424e","Lactobacillus_amylolyticus",93.7756497948016,50,2340
"5719","533c4788-373e-405c-a3e1-6398a5cfe4c8","Lactobacillus_paracasei",91.5068493150685,0,2166
"7296","688f0766-fd96-4458-8f1b-88aa5da66585","Lactobacillus_paracasei",94.1780821917808,0,2376
"7492","6ae1fe6b-86c1-437f-a542-7c9cb57108f9","Lactobacillus_gasseri",84.707540521494,0,1482
"9460","870e1ce8-826b-496d-b620-cad6e55034ee","Lactobacillus_plantarum",96.3913948646773,0,2562
"10937","9aa20d3a-d796-4035-a221-1b1aa2112078","Lactobacillus_amylolyticus",95.7152729785764,55,2500
"12104","aca7a87b-231f-4ff1-852a-0c5b214a6a2d","Lactobacillus_plantarum",80.5405405405405,0,1070
"13754","c66f35f0-fa24-487a-850e-0c3693768887","Lactobacillus_amylolyticus",93.870523415978,46,2344
"15474","dcd9a191-0bab-44df-99a4-ff7699da73c2","Lactobacillus_paracasei",91.6841369671558,0,2102
"15496","dd67d7f3-2928-4858-a29f-ddbcb3b7801c","Lactobacillus_gasseri",81.4066852367688,0,1244
"16416","eb509876-49ca-416c-96d7-b076de085c10","Lactobacillus_paracasei",93.8356164383562,0,2330
"1","00225d75-61a5-460e-a1db-cf7ea91c0fce","Lactobacillus_casei",92.6027397260274,1,2238
"8","002a6226-0a26-44cf-b0fc-0a554d9b9857","Lactobacillus_fermentum",93.0872483221477,8,2306
"12","002e0b0b-e5c3-41c5-9efd-ffd7497557d1","Lactobacillus_brevis",88.0458124552613,1,1768
"18","002f5f29-7c4e-4625-8488-a3fb2ea430b3","Lactobacillus_paracasei",88.7678692988428,0,1890
"20","0034d345-7b18-4070-a8df-f4a954b23bde","Lactobacillus_casei",95.467032967033,0,2498
