"","Query","Tax","Matching","MapQ","AS.max"
"264","04a31188-186d-4890-bd19-1c49049a8bf0","Lactobacillus_rhamnosus",89.0136327185245,0,1620
"1633","188df9cc-8d7e-445f-8e95-2765e946ead9","Leuconostoc_lactis",84.9563465413029,48,1703
"2118","1f82d1b9-667b-4976-a545-f449fae5a87a","Lactobacillus_rhamnosus",87.8809869375907,0,1682
"3919","3b07642b-fb2a-42a4-9f7c-adaac5c7e1fe","Lactobacillus_delbrueckii",92.1433494141971,0,2182
"4944","4b1ce096-65ff-4448-bbc3-582f04624fa8","Lactobacillus_plantarum",95.201668984701,0,2434
"5267","4fe025c9-c158-4492-ba68-7de5aa62570e","Enterococcus_faecium",84.1541755888651,0,1388
"5357","50e3c809-8302-4566-8a11-162515ce7fcd","Lactobacillus_reuteri",89.5565092989986,0,1898
"5675","5674880f-b420-47b5-bc47-a8507cb3215c","Lactobacillus_paracasei",92.8472222222222,0,2246
"6707","66e6ff7a-fabb-4805-974f-ad6023128b09","Lactobacillus_plantarum",87.1794871794872,0,1730
"9196","9106ef9b-4fd6-4cc3-a7a8-ec50335edcd1","Lactobacillus_fermentum",92.049883086516,0,1920
"9268","920356ab-3b04-462b-bfc0-880507f5ad0d","Lactobacillus_delbrueckii",84.3549862763038,0,1160
"9302","929d134f-3458-4b4c-bb45-85b7c56cf39e","Lactobacillus_gasseri",75.0154607297464,0,724
"9639","96ed2b81-a919-4c29-b955-dd18dbcceb22","Lactobacillus_plantarum",95.0481430536451,0,2446
"10731","a78fd573-ac95-40e1-9988-b734c1a8c7be","Lactobacillus_plantarum",95.3200275292498,0,2476
"10765","a816f22c-be2e-44ad-b877-e0bac1d799d8","Lactobacillus_paracasei",94.8770491803279,0,2428
"11153","ae85c3f9-9c3c-475b-9b42-87812568968c","Lactobacillus_delbrueckii",90.3688524590164,0,2042
"11366","b1838d75-6a79-4ab6-992b-dfc91eccc7c5","Lactobacillus_plantarum",95.1823812801101,0,2450
"12236","c01329b3-4d66-4b9c-8596-944644fcde3d","Lactobacillus_paracasei",90.7446068197634,0,2034
"12775","c9090ba6-90fe-44f5-afed-ba2e4d6879b9","Lactobacillus_amylolyticus",93.7756497948016,50,2344
"14846","ea104153-ec3e-4d5a-a6f9-2dc932c3f185","Lactobacillus_amylolyticus",91.4559125085441,45,2120
"14882","ea922426-e1d0-4285-84ab-8eec1449642b","Lactobacillus_paracasei",94.3729903536977,0,2044
"15800","fa182a16-d53a-45b5-97e0-a9cb19dcfb9d","Lactobacillus_plantarum",92.8571428571429,0,2272
"1","00119716-7b53-4f9e-a694-93f15fb1e15f","Lactobacillus_casei",94.4027303754266,0,2406
"7","0031a46e-bcf8-41be-800a-786b77462e51","Lactobacillus_fermentum",87.5335120643432,0,1804
"12","0038aeb6-c8d1-490c-baac-b32bda0fcfe8","Lactobacillus_fermentum",88.1155613919895,9,1914
"16","003aed2c-0527-4320-9803-cb87ec518821","Lactobacillus_paracasei",93.2830705962988,1,2320
"21","0057fc7f-f946-47a5-9df6-1e7cce0b4440","Lactobacillus_oris",89.1786179921773,2,2042
"23","00580ce5-1bb2-43bb-aaea-0f3bc02781b7","Lactobacillus_casei",81.4446653412856,1,1232
"31","0058cf57-951f-4818-bbca-73d8dda6dac9","Lactobacillus_paracasei",89.9051490514905,0,2006
"32","008e3849-3678-4f6f-b649-b3955754d743","Lactobacillus_casei",95.2901023890785,0,2502
"36","0094f82f-2242-4876-8058-44eea125e517","Lactobacillus_fermentum",92.1981004070556,1,2224
"41","00a0082c-07b4-45cb-ab21-b9cc8c29dbe3","Lactobacillus_fermentum",88.9484259879437,0,1942
"45","00b3b040-121b-44df-8bae-7f77d7804544","Lactobacillus_fermentum",92.4760601915185,0,2202
"52","00b3cd74-5ec9-495f-ba57-1c247b99ab7e","Lactobacillus_hokkaidonensis",81.3807531380753,8,1236
"56","00b5f9d3-d0c7-4353-82a3-a4098344e28c","Lactobacillus_paracasei",92.9655172413793,8,2274
"59","00e0e51a-b52b-4f89-94c5-926d5f478b38","Lactobacillus_plantarum",78.5515320334262,0,938
"65","00f5800e-7c54-4860-b7b6-31a0bcdd509f","Lactobacillus_plantarum",82.0735785953177,0,1334
"69","010df1bb-b465-41fd-8c21-a6e6f2e859e2","Lactobacillus_fermentum",90.976933514247,8,2108
"74","01180b98-864c-47f3-b1dc-e191f6d5361b","Lactobacillus_fermentum",85.2555701179554,1,1614
"79","011f521e-034b-482b-a94e-985dbdd17a7f","Lactobacillus_fermentum",94.7190250507786,3,2464
"82","015b7c33-7958-4669-a9dc-01a0e37d1c7e","Lactobacillus_casei",93.3195592286501,0,2274
"85","0175f9f3-b606-463a-a59a-c21c4f94c6c4","Lactobacillus_casei",90.5906593406593,0,2046
"92","01775b9b-8b4d-45de-86dd-71e6c282716e","Lactobacillus_delbrueckii",93.3011049723757,0,2270
"96","0188f932-636f-43a2-b03e-538b58ebb493","Lactobacillus_fermentum",88.2037533512064,0,1864
"99","01a3cc98-e26c-4605-af92-5fd91f8b88e8","Lactobacillus_casei",95.0773558368495,1,2394
"102","01a562b8-eeb8-42b8-94ee-8f5ffc057016","Lactobacillus_casei",91.2040990606319,0,1672
"105","01a75c16-a646-4aef-9e67-90f29bc1d0ab","Lactobacillus_casei",89.0066225165563,0,1986
"110","01b9f47f-cb79-4d4d-8bd2-321e3e4ffd82","Lactobacillus_fermentum",87.8423513694055,0,1892
"114","01cd2dab-30cb-4796-9ed8-c7f9f87e05e1","Lactobacillus_fermentum",94.8630136986301,10,2440
"119","01d425e9-b1f0-47f5-86c9-e1c63489c1bc","Lactobacillus_delbrueckii",93.9684715558602,0,2360
"123","01ddea25-753b-452c-8eea-e8befc8a1a8a","Lactobacillus_fermentum",95.5102040816327,0,2512
"126","022a2fc6-79bb-41aa-b53a-6365cfc51a88","Lactobacillus_casei",91.3920645595158,0,2186
"132","022d3b75-2adb-44db-8131-40acdf1668e6","Pediococcus_claussenii",87.0044052863436,0,1632
"136","023d2618-532e-4b4a-880c-b8a7220135fa","Lactobacillus_plantarum",85.5516014234875,0,1560
"138","02568f2e-c46e-48a5-b5f8-8619e4108f8d","Lactobacillus_fermentum",92.6680244399185,1,2262
"144","026dd56d-2b72-49b5-847e-be0ba689d06b","Lactobacillus_paracasei",89.0466531440162,0,1914
"148","0270df5b-b3fc-47e4-9d2f-75bd97afdb8b","Lactobacillus_casei",90.5672823218997,1,2110
"154","02c8d1c6-3174-4c6f-8c53-8c423148ca1c","Lactobacillus_fermentum",91.6272788656313,0,2170
"159","02fe5b23-b547-4e1a-b54a-eb22e468979c","Lactobacillus_fermentum",92.9979605710401,0,2268
"161","0316fec9-7080-42dd-9e26-e6277780cc15","Lactobacillus_casei",81.2415654520918,0,1236
"168","031e9437-715d-4171-bd74-ea8520e1ff58","Lactobacillus_fermentum",94.8559670781893,0,2416
"171","032043aa-441a-4f24-b92f-917c7f761e32","Lactobacillus_fermentum",93.4604904632153,0,2316
"174","032177b7-61c0-48e8-824f-a0ee31afa70a","Lactobacillus_casei",81.1734364925854,0,1284
"178","0335ac9c-5750-41d5-9db0-b5b69ad1bc68","Lactobacillus_paracasei",91.8975069252078,0,2182
"179","033c7000-f77b-416d-894e-391877cd8918","Lactobacillus_casei",81.213686249193,0,1302
"186","033c8f20-e1a4-429f-a57f-5daa16c8e894","Lactobacillus_fermentum",91.0607071380921,8,2156
"190","03411a70-e5a9-4a61-83b6-451e1e957c22","Lactobacillus_casei",85.5510752688172,0,1660
"195","036b896d-347a-477a-ac46-d62d354bbb77","Lactobacillus_casei",92.4067796610169,0,2258
"201","03951252-f9f8-4bf7-aff1-276ea015bd52","Lactobacillus_rhamnosus",86.7198838896952,0,1584
"204","03a52b49-b0a4-45e6-af09-628f1cb2d5ac","Lactobacillus_buchneri",88.961510530138,0,1822
"209","03cc6d6a-6f11-4d80-9028-30e638041dc9","Lactobacillus_buchneri",85.4519774011299,1,1534
"211","03f4effe-93d2-45de-8cbe-23b14b6bd2c5","Lactobacillus_amylolyticus",83.5419274092616,60,1574
"219","040e0fd2-6708-4fcb-9fe8-5450480fa115","Lactobacillus_paracasei",88.881309686221,21,1922
"220","0431fa25-cac6-4dba-b34f-25db5c57af69","Lactobacillus_casei",90.5020352781547,0,2062
"226","043af4d4-57e7-4eba-b3a2-d12c52f6e1d2","Lactobacillus_paracasei",95.1369863013699,9,2466
"227","044e0cb8-b6d0-4b35-804b-529c7c4246ea","Lactobacillus_casei",95.1333333333333,0,2542
"233","0450d726-8f36-4935-a551-930cc8c05d38","Lactobacillus_fermentum",94.8122866894198,1,2450
"235","0456422b-8fe1-4b0f-9106-8b6de80e18d9","Lactobacillus_casei",80.0295857988166,0,1096
"241","0459b13b-aad2-4d06-9eb7-85292b9706d9","Lactobacillus_paracasei",89.1275167785235,14,1998
"245","04670015-7c87-4ca3-b4b9-8279baca828f","Lactobacillus_casei",93.6475409836066,0,2332
"250","046d3011-51df-4b72-88c2-3fa41d18b3a3","Lactobacillus_paracasei",82.4621733149931,1,1308
"254","047c0e89-05b1-42b8-8e45-e0ec8323378e","Lactobacillus_fermentum",95.4451345755694,0,2496
"260","04805869-004c-42be-9d2d-826c069a0e70","Lactobacillus_buchneri",84.1133816743573,0,1526
"262","049c7660-8025-4015-a0f2-995e692431db","Lactobacillus_delbrueckii",87.3209169054441,0,1670
"267","04a9280d-f137-499d-b723-09ac6f9128ad","Lactobacillus_brevis",85.850991114149,0,1644
"270","04c15438-a2ca-4a41-92fb-ba20252b8f7c","Lactobacillus_casei",86.2589928057554,0,1598
"276","04cb81a7-d23a-4d60-80b6-7f101ba60d1d","Lactobacillus_paracasei",92.9518492672715,0,2218
"280","04cbcae9-5bd1-43af-a5d9-6f2920922a96","Lactobacillus_salivarius",83.7357954545455,0,1378
"283","04f7adf1-9897-4d71-b44b-e3b7299d5a91","Lactobacillus_fermentum",80.0263678312459,0,1166
"288","050cc128-5231-46cf-b8b6-1c806f68978a","Lactobacillus_fermentum",93.9373297002725,1,2348
"291","05191182-b97f-453a-a3f3-8eba48c3035a","Lactobacillus_casei",87.2615803814714,10,1770
"296","052e019f-a4cd-4c5a-95f6-6e3628509e97","Lactobacillus_fermentum",88.9914772727273,0,1846
"299","053b02d9-342c-46f7-afd4-0d708d74005f","Lactobacillus_delbrueckii",87.4830852503383,4,1780
"303","053b1987-4853-4f3a-8487-3493d6736c16","Lactobacillus_casei",79.6414852752881,1,1150
"309","05565878-50ce-4b40-83f6-a29da979aeef","Lactobacillus_fermentum",90.5109489051095,1,2120
"311","0558e232-82bd-4954-bc90-13886e34203d","Carnobacterium_inhibens",75.2704791344668,0,650
"315","0558f092-3a96-4ddf-b644-071640800836","Lactobacillus_fermentum",92.2448979591837,5,2236
"321","05665675-64d2-42e2-9f43-1511af5fbddc","Lactobacillus_paracasei",86.414844267727,1,1746
"322","05791586-88ae-4680-a6ef-357136760fea","Lactobacillus_casei",79.9215173315893,0,1128
"326","057b636f-dd94-469a-8b5e-91ac31dcc6a1","Lactobacillus_casei",93.5550935550936,0,2308
"328","0581fc00-94c9-4c73-ada9-ca1083e73947","Lactobacillus_casei",85.7912457912458,0,1686
"334","05844ac5-30c4-4666-8c5b-1c0637b340fe","Lactobacillus_fermentum",91.123439667129,0,2189
